MCNo,Event Number,Rating (0-3),E1 (GeV),px1 (GeV/c),py1 (GeV/c),pz1 (GeV/c),E2 (GeV),px2 (GeV/c),py2 (GeV/c),pz2 (GeV/c)
256,1025877219,2,8.37112,-1.9349,1.8973,7.91965,6.74016,-1.32897,-0.517884,6.58667
257,1025914344,1,6.06492,1.80383,1.42815,5.61058,4.6512,-2.02645,2.15346,3.58867
258,1025925701,2,11.2235,-1.87839,-1.83937,10.9107,4.24392,0.661117,1.23385,4.00503
259,1025946676,2,16.6557,0.925557,-2.85056,16.3835,5.0176,0.580247,1.2337,4.82768
260,1025967617,2,10.2325,1.08031,-2.96326,-9.73369,5.85422,-0.853198,1.30807,-5.64107
261,1025972243,1,3.63298,1.16489,0.781652,3.34954,6.58562,0.429298,-1.7188,6.34197
262,1025973850,0,10.0112,-2.29687,-1.81441,9.57315,3.92565,-0.516549,-2.01306,3.32871
263,1025980575,2,34.3174,-6.10394,6.80088,33.0781,3.74107,0.190046,1.4471,3.443
264,1025985979,2,9.43877,1.1912,-1.74166,-9.19929,6.11269,-1.27294,0.0896979,-5.97707
265,1025998448,2,6.89108,-0.537345,-1.25323,6.754,3.71535,-1.22594,0.566109,3.45966
266,1026001299,3,8.98777,-0.713094,-2.18216,8.68899,12.0613,1.49365,-2.13992,11.7752
267,1026002823,1,7.5219,-3.31756,-0.935394,6.6848,4.88854,1.29398,0.805371,4.64367
268,1026016690,0,8.46486,-1.52342,-1.06317,-8.25781,5.34284,0.73511,1.55852,-5.05622
269,1026040846,0,7.93,2.145,0.739218,7.59778,3.45609,-0.144602,-1.17805,3.24417
270,1026055101,2,8.44193,-1.31455,-1.60899,8.18158,7.50692,-1.66183,1.1303,7.23211
271,1026060599,2,8.89515,-2.95181,1.3263,8.28494,5.2256,1.23816,-0.371394,5.06209
272,1026085936,1,5.77977,-3.26456,0.18387,4.76481,3.56327,-0.608791,1.06895,3.34253
273,1026139960,3,7.19943,-1.54685,1.41091,6.88747,10.8745,2.57754,1.51006,10.4556
274,1026149856,1,5.29121,1.00727,0.767302,-5.13638,6.4606,-1.31518,1.96024,-6.01298
275,1026152024,2,9.93367,-0.759258,-2.47877,-9.58884,4.12543,-2.00212,-1.14817,-3.41777
276,1026199716,0,6.70523,-0.327056,-1.46688,6.53378,13.5474,-3.22262,0.607237,13.1441
277,1026204835,1,7.22887,1.06785,-1.52885,-6.98339,5.40351,-0.134942,1.19908,-5.266
278,1026211964,3,19.837,-0.797602,3.40948,19.5252,6.17902,0.192845,2.78419,5.51183
279,1026251888,1,7.49215,-0.834564,-1.26671,-7.33621,7.1019,2.89794,-1.40505,-6.32879
280,1026265404,0,5.16358,4.30581,-0.094103,-2.84649,3.66204,-0.742832,-0.760301,-3.50279
281,1026282464,2,15.496,2.35118,4.92629,14.5024,4.43381,-1.35403,1.37597,3.99009
282,1026286398,3,9.35499,1.71647,2.14844,8.94106,12.9714,0.861053,6.15546,11.3849
283,1026290287,3,12.6154,-2.57234,0.889684,-12.3178,6.28203,-0.287237,2.18236,-5.88282
284,1026296104,2,8.30318,1.1606,-5.69492,-5.92895,3.72391,-0.711813,-1.04991,-3.49962
285,1026301745,2,28.8145,5.23581,1.72737,28.2819,5.24532,0.241041,0.959636,5.15006
286,1026346487,0,6.43858,-1.73233,-2.23827,5.78216,4.76198,0.842412,0.959196,4.58646
287,1026370339,3,8.1104,2.83541,0.0353683,7.5978,4.45675,-1.34607,1.20947,4.07145
288,1026420767,2,5.38046,-0.908667,2.36779,-4.74406,7.35377,1.23527,0.631336,-7.22096
289,1026435164,2,12.9191,-1.46778,2.02067,12.675,5.36073,1.05955,1.29924,5.09073
290,1026454829,2,31.2994,4.46943,3.67348,30.7599,5.32044,1.17515,-0.444786,5.16886
291,1026513903,2,9.74912,-2.32909,2.22568,-9.20086,3.68503,0.861021,0.0859682,-3.58044
292,1026555339,2,7.88382,1.92261,0.00807104,7.64506,7.95637,1.78164,-2.09362,7.46559
293,1026562241,3,8.31834,0.644932,-2.01859,-8.0432,6.05825,-0.196561,1.39619,-5.89095
294,1026601560,2,13.0444,0.00600535,2.5224,12.7977,3.8038,-0.103119,-1.00808,3.66482
295,1026613104,2,19.1913,-0.403759,-3.61079,-18.8439,3.37968,0.981708,-0.75568,-3.14266
296,1026650768,2,8.89851,1.72088,0.299873,-8.72473,2.98996,0.363171,-1.05759,-2.77097
297,1026656140,2,9.53469,2.82785,0.186784,9.10316,3.52289,0.329633,-1.23746,3.28018
298,1026690994,0,14.98,-0.620744,-2.82005,14.6987,9.3586,-1.93605,-1.29388,9.06366
299,1026716398,2,7.36336,1.55942,-1.06577,7.11619,3.95769,-1.68969,0.10103,3.57588
300,1026734556,1,12.0005,1.71651,-3.45981,11.3615,3.59432,1.52611,0.658638,3.18515
301,1026762916,1,9.81471,0.586295,-2.04805,9.58014,5.16806,-1.08142,0.769884,4.99354
302,1026828115,2,10.5943,-0.579967,1.95274,10.3961,3.9152,-1.93272,-0.108621,3.40154
303,1026836938,2,9.40676,-1.59933,0.750921,-9.23874,2.74852,0.0122047,-1.09163,-2.52019
304,1026872206,1,8.86611,-1.71556,1.47866,8.5713,3.63873,0.386614,1.61017,3.23837
305,1026963016,2,7.4028,0.603962,1.57688,7.20687,5.06638,0.104795,-1.71747,4.76407
306,1027081349,0,9.42801,-1.50798,3.48712,8.62799,4.08379,-0.798971,-0.90578,3.89967
307,1027093076,2,13.031,0.296851,-2.60103,-12.7649,5.35384,1.75091,0.144414,-5.05627
308,1027113045,0,8.32895,-1.8064,2.87149,-7.60603,3.07804,0.903521,0.957765,-2.7802
309,1027114929,1,5.63,-1.11233,-1.40705,-5.33561,3.57905,0.940844,-0.522754,-3.41174
310,1027160502,3,16.5278,-2.33272,-2.5265,16.1658,6.68162,-0.480244,1.26325,6.54266
311,1027193222,3,11.4785,1.17356,2.46699,11.1482,5.4616,2.6384,-0.607499,4.74212
312,1027263061,0,10.467,0.413879,-3.07135,-9.99716,4.00909,-1.02175,-1.81702,-3.42288
313,1027290607,2,8.76509,1.15007,1.9067,-8.47688,6.47192,1.76702,-0.317801,-6.21701
314,1027294457,2,7.89406,0.705609,-2.29659,-7.51883,5.73791,1.32652,0.435507,-5.56445
315,1027393570,2,6.4687,-2.73156,3.26771,4.86761,5.44644,1.23521,0.705357,5.25635
316,1027420507,0,8.91762,-2.04107,-6.72307,5.49063,3.13232,0.359485,-0.670159,3.03677
317,1027424235,2,8.7908,-1.30665,-2.58051,8.30064,3.44773,0.962026,0.00179807,3.3091
318,1027474727,2,8.09307,-1.63827,1.54477,-7.7728,3.75384,0.985115,1.5675,-3.26383
319,1027478325,1,9.26485,-1.36795,1.78686,-8.98677,4.10766,0.224166,-1.08235,-3.95474
320,1027479226,2,7.81442,1.86301,1.21246,-7.49087,3.64647,0.968888,-0.919098,-3.39148
321,1027482747,1,6.34538,1.76802,1.3912,-5.93223,7.40222,-1.09451,1.57777,-7.14803
322,1027486284,2,14.1367,-1.09137,3.83903,13.5612,5.0661,-1.50694,0.427372,4.81671
323,1027505451,2,4.51512,-3.14206,3.23255,-0.230669,4.49105,-3.84492,1.20066,1.98327
324,1027538876,2,11.7444,0.408408,-3.42644,11.2255,4.14842,-1.53378,-0.886807,3.74958
325,1027580075,0,7.17596,-1.18238,-2.37864,6.66538,3.93833,0.688838,0.331368,3.862
326,1027689563,2,22.0042,-3.9831,2.33044,21.5146,3.3421,0.116929,1.31267,3.06948
327,1027728904,2,9.16703,0.144514,1.62164,-9.02068,4.65444,0.193384,-1.27223,-4.47176
328,1027733495,1,5.58012,-0.798907,-2.88979,4.70504,5.79285,-0.665004,1.24656,5.61692
329,1027736729,0,8.03411,1.52545,2.06701,7.61158,3.1546,-0.329261,-1.1421,2.9202
330,1027752599,2,11.7964,-2.15866,-3.24625,-11.1331,5.18405,0.497817,-1.59651,-4.90576
331,1027773507,3,8.84609,3.02174,3.18878,-7.67743,7.27821,-0.0212938,3.785,-6.21567
332,1027852770,2,9.44716,-0.304044,2.21883,-9.17726,3.12307,1.13017,0.426459,-2.87807
333,1027855200,2,7.75496,-1.27907,3.15998,6.96468,5.4293,0.83289,-0.75577,5.31049
334,1027864823,2,8.02526,-0.562665,3.56495,7.16716,4.14734,0.232317,-1.2554,3.94453
335,1027870500,2,13.5395,2.34837,-3.19896,12.9445,3.83034,0.327025,1.48737,3.51299
336,1027888866,0,6.53071,2.80291,-1.27226,-5.75883,5.72445,-0.441611,-2.00828,-5.34135
337,1027896531,0,8.24297,-1.18407,1.86085,7.9417,5.31375,-1.74848,-0.120296,5.01529
338,1027926410,2,13.1266,-1.55674,-1.69458,12.9229,3.03884,-1.02182,0.89446,2.71648
339,1027953903,2,8.37215,-1.79516,-0.893845,-8.12775,37.1827,-9.83111,0.659633,-35.8533
340,1027959983,0,8.49897,1.58758,0.171377,-8.34695,10.1975,-2.42631,2.47157,-9.59072
341,1027986210,2,16.3688,-2.78824,4.76,15.4108,5.12904,-1.61638,0.417547,4.84859
342,1028003524,2,12.2621,1.10129,-3.27765,11.764,2.81089,0.759248,0.0771777,2.70324
343,1028017402,2,14.4151,1.9985,-7.24818,12.2986,4.35266,1.07141,-3.30899,2.61479
344,1028137247,2,19.3203,-2.09108,2.93879,-18.9804,8.79188,0.942762,1.99581,-8.50963
345,1028145001,2,21.6721,-0.171907,-4.15948,-21.2682,4.47568,1.22051,-1.31648,-4.09852
346,1028179437,0,22.0922,0.485523,-4.57614,-21.6074,3.05465,-1.25944,0.059401,-2.78028
347,1028208934,1,11.0789,-1.87,0.990026,10.8744,3.43328,0.710212,-0.591612,3.30482
348,1028210237,1,3.85272,-1.71223,-0.927492,-3.32269,10.0582,-2.71441,3.82759,-8.89598
349,1028308866,0,10.5304,-2.23333,-0.165102,-10.289,4.59502,0.0498674,-1.08242,-4.46419
350,1028321640,2,17.86,0.71714,-3.14348,-17.5662,8.31251,-1.04113,-2.46893,-7.8681
351,1028379921,0,11.2716,2.47091,-1.35369,-10.9133,5.45103,2.9643,0.239841,-4.56706
352,1028404100,1,6.06428,-1.43365,-1.16826,5.77444,3.40947,0.73624,1.03378,3.16268
353,1028404962,0,8.67084,-1.42938,0.820027,-8.51215,17.1764,-7.30947,-0.321069,-15.5398
354,1028460467,2,12.1689,0.985359,2.2572,-11.9166,4.48177,0.850841,-1.37049,-4.18006
355,1028473956,2,7.44817,0.265512,2.6007,-6.97352,7.42969,1.76107,0.394991,-7.20636
356,1028505797,2,9.11029,0.739595,-2.55095,8.71389,5.72822,0.783044,0.795541,5.61741
357,1028546196,0,8.38656,1.90197,0.34198,-8.1602,4.72893,2.00024,1.49273,-4.01527
358,1028598823,1,6.37628,-1.44286,-1.94587,5.89725,7.43303,-1.9125,-4.56119,5.54767
359,1028610055,2,13.4341,-4.41411,-1.06297,-12.6431,6.11578,-0.443502,-1.51112,-5.90859
360,1028618426,0,16.2603,1.87141,4.22663,15.5891,5.17345,1.09935,0.213813,5.04967
361,1028660009,2,7.46132,1.76813,1.85908,-7.00555,3.53045,0.768698,-0.542437,-3.40114
362,1028667471,2,9.08768,-1.79263,-0.787138,8.87365,3.20945,0.541942,-1.50958,2.77792
363,1028717108,2,7.44525,-2.51618,-0.285554,7.00056,4.04853,-0.0830623,-1.13082,3.88507
364,1028731018,2,7.82683,-0.304786,1.70892,7.63118,7.33084,-2.75725,1.28086,6.66986
365,1028744818,2,13.3323,0.630333,2.79349,13.0207,16.0367,-0.651177,6.28661,14.7384
366,1028745677,3,10.8871,-2.28894,-0.538616,-10.6296,5.28321,-0.778735,-1.5976,-4.97417
367,1028772835,2,15.7043,3.73686,-5.06994,14.3856,5.34984,-0.609853,-1.8967,4.96389
368,1028808515,2,9.40438,-2.35695,0.0421172,9.10352,4.05966,0.476675,1.90773,3.55007
369,1028890531,1,21.5579,5.98773,0.591908,-20.7009,3.18037,0.305155,1.53956,-2.76409
370,1028906771,0,9.11058,-1.96997,0.88172,8.85061,10.3314,-1.60059,-1.89843,10.028
371,1028939287,1,3.65869,2.89967,1.59879,1.55262,3.82898,-0.900448,0.38204,3.70043
372,1028941125,0,12.4764,2.95796,-3.46027,11.6158,5.91641,1.0406,0.435041,5.80694
373,1029008035,0,5.4851,-0.818399,1.50485,5.20969,3.77242,0.653905,-1.01524,3.57235
374,1029043958,1,10.0905,-0.219341,2.48707,9.7762,5.28791,-1.68366,0.0410844,5.01143
375,1029064382,0,6.86824,-0.442884,-1.29188,6.73027,4.0988,-0.350297,1.44685,3.81745
376,1029083809,1,11.5441,1.86767,2.78077,11.0469,14.8212,-0.0158972,2.5922,14.5924
377,1029144293,2,6.61679,-1.63414,-0.60727,6.38213,5.27199,0.306156,-1.5602,5.02541
378,1029160806,1,6.83589,1.15129,-1.65563,6.53082,3.06266,-0.973902,0.642526,2.82973
379,1029170329,0,10.6227,-2.85152,3.9224,-9.45063,3.28866,-0.849439,-0.404467,-3.14945
380,1029177660,1,10.4035,-2.025,-2.7863,-9.81621,8.63568,0.791466,-1.70557,-8.42783
381,1029198944,0,5.02963,-0.0678597,3.80332,-3.28879,3.16011,-0.891631,-0.227877,-3.02129
382,1029250031,2,7.00655,0.927655,-1.00665,6.87071,2.73417,-0.983653,-0.509642,2.49744
383,1029304684,0,7.3009,-0.132854,1.6861,-7.1015,6.51878,1.34005,0.201462,-6.3755
384,1029311397,0,8.13405,-3.18038,-1.56425,-7.32051,6.5373,0.754248,-1.41467,-6.33679
385,1029343342,0,10.1538,-1.66103,-1.23512,9.93999,5.64645,0.867439,-0.593264,5.54679
386,1029452604,2,4.35561,4.14277,-0.45738,1.26031,4.32864,1.00356,0.477469,4.1822
387,1029589563,2,6.8775,0.945625,-0.767476,6.76799,3.77978,-0.723669,0.495063,3.67516
388,1029608544,2,8.51958,-2.91957,-1.42386,7.87533,4.77724,-0.0749778,-1.20812,4.62013
389,1029625348,2,18.3678,-3.6188,0.0684987,18.0073,2.66501,-0.175666,0.898025,2.50076
390,1029668715,2,16.3921,-4.13063,0.272886,-15.8605,14.8362,-2.23424,-1.41561,-14.5982
391,1029669923,1,6.65068,-1.72065,1.87699,-6.14301,6.53425,1.3737,1.30367,-6.2529
392,1029693236,1,3.97153,-3.39307,1.3663,-1.54344,3.65871,-1.31207,-1.2191,-3.18862
393,1029717488,2,8.14068,-2.19084,-0.462552,7.82596,4.25964,0.103949,-1.48597,3.98929
394,1029738306,1,2.73171,0.97909,-0.45004,2.50798,17.8033,3.05842,0.899863,17.5152
395,1029738546,2,8.67779,-0.624062,-2.20538,8.36898,5.7023,1.75879,-0.701432,5.37771
396,1029745426,1,20.0111,-0.656917,-4.16012,-19.5626,7.2282,1.49097,-0.1815,-7.06964
397,1029755605,2,15.3051,1.95097,3.8808,14.6754,6.60859,1.90395,0.100797,6.3267
398,1029856337,2,23.3891,-1.60206,5.18317,22.751,8.95581,-1.63663,0.689587,8.77731
399,1029887875,2,11.1118,0.307876,3.4909,-10.5442,3.61794,-0.770662,-0.41869,-3.50843
400,1029896710,3,8.54344,-1.40737,-0.897128,8.37816,11.0632,-2.6597,-4.42435,9.78436
401,1029939318,0,7.80117,0.822441,-1.24915,7.65574,9.46973,-0.467959,1.72187,9.2995
402,1029949854,2,8.02907,1.61854,1.66691,-7.68483,5.70144,-0.796768,1.61289,-5.40916
403,1029967099,2,7.28494,-0.313552,2.1661,-6.94758,6.24232,1.3125,0.564302,-6.07572
404,1029983609,1,5.03393,0.65383,3.07948,-3.92665,4.33376,-0.373904,-0.955435,-4.20924
405,1030017171,1,6.16865,-1.4996,0.212635,5.97888,7.70657,-0.660171,-1.99984,7.41248
406,1030054042,2,10.1503,1.79625,3.3737,-9.40265,5.98012,-0.929332,0.90045,-5.83748
407,1030063693,0,9.9417,3.06116,0.45425,-9.44718,4.40703,1.65756,-1.4893,-3.80069
408,1030173072,1,17.418,2.67343,0.779647,17.1936,4.64015,0.747988,-1.51243,4.32122
409,1030216046,0,8.79069,1.73883,0.30877,-8.61082,3.45915,-0.890353,0.332041,-3.32439
410,1030256303,0,10.8994,-2.73832,-0.0602514,10.5491,4.35029,-0.379921,1.10196,4.18989
411,1030282714,2,20.2861,-6.89208,-0.921117,19.0569,8.6273,-2.41016,1.6169,8.12379
412,1030335288,2,14.0946,0.953674,-2.24275,-13.8819,10.3176,2.58001,-2.48593,-9.67502
413,1030342812,2,10.6791,4.12676,2.70554,9.47005,4.8749,0.198011,1.5509,4.61616
414,1030347421,0,8.24639,-0.56027,-2.45463,-7.85192,3.1383,-1.45413,0.367841,-2.75463
415,1030351565,1,10.594,2.40272,0.651389,10.2968,2.83135,0.923415,-0.87258,2.5281
416,1030377693,2,13.3759,2.22526,1.91411,13.0495,6.15826,-0.375286,1.82848,5.86761
417,1030395378,0,7.25758,-1.94895,-4.92124,4.96431,3.88562,-0.580115,-0.602122,3.79313
418,1030404916,0,8.60695,2.79231,1.72674,-7.95549,4.13693,-0.875911,0.01631,-4.04173
419,1030420439,2,5.07893,-1.91986,3.64798,-2.96492,3.06015,0.907427,-0.0663602,-2.91985
420,1030442750,0,8.89629,-2.7337,-0.399945,-8.45576,5.96771,-0.464024,-1.4819,-5.76117
421,1030445729,2,9.82784,2.63856,-0.329972,9.46067,13.4602,2.23276,1.61589,13.1746
422,1030491053,1,22.854,1.45769,4.59884,-22.3388,8.50683,2.21698,2.35563,-7.86708
423,1030495943,1,28.7682,13.016,3.49527,-25.4159,5.34743,1.46414,0.780138,-5.08247
424,1030538174,2,8.79932,2.423,0.0701642,-8.45819,9.04199,2.31863,2.66014,-8.3243
425,1030553644,3,9.09491,-2.7707,3.81599,7.7761,3.5069,-1.4338,-0.402057,3.17329
426,1030555290,2,17.0139,1.66525,3.74164,16.5133,4.57868,-1.29849,1.66152,4.06281
427,1030578418,0,18.4539,-8.38909,0.00425751,16.4365,7.10364,-3.7553,-1.68763,5.78793
428,1030584320,3,7.1818,-0.123829,-2.07238,6.87437,5.96518,-2.36501,0.368575,5.46288
429,1030628009,1,5.08691,-2.68979,2.9259,3.17328,4.08382,0.80237,0.72739,3.93618
430,1030646776,0,5.76732,-0.324057,1.60462,-5.52911,7.50723,-1.61899,0.0266561,-7.32977
431,1030668173,1,13.5085,0.120056,3.39815,-13.0731,11.2418,-1.49661,1.55134,-11.0327
432,1030685310,3,9.17141,-0.287577,-2.29362,-8.87469,8.52251,1.82275,-2.49276,-7.94266
433,1030699792,2,9.20954,-0.68479,1.58532,9.04557,2.78339,0.697066,-0.247589,2.68121
434,1030736616,2,6.68175,-1.56422,2.54842,-5.9744,5.67661,1.58128,1.83391,-5.13313
435,1030737862,2,17.1717,5.50079,-0.694802,16.2516,5.16175,0.827978,0.522906,5.0669
436,1030758489,2,9.52885,-1.88173,0.363792,-9.33352,5.93118,1.51768,-0.46504,-5.71386
437,1030759167,3,8.68951,-1.18374,1.11197,-8.53573,4.35514,-1.43498,-0.928664,-4.0043
438,1030774383,1,12.9949,0.594275,2.458,-12.746,3.21442,0.850955,-0.206835,-3.09102
439,1030799057,2,16.5144,-4.15925,4.07679,15.453,5.19342,0.0580691,1.07711,5.07906
440,1030821183,0,12.6962,-3.01648,0.409792,12.3254,5.4165,1.0517,-1.80428,4.99657
441,1030839324,2,5.91935,-4.16596,-2.94175,3.00307,2.83069,0.801503,-0.325421,2.6932
442,1030842261,2,9.14309,-1.29786,-1.21817,8.96752,3.70997,1.20009,0.203905,3.50298
443,1030846015,2,7.88404,-0.567932,1.94881,-7.61751,13.4421,1.79716,2.62392,-13.06
444,1030853978,2,8.20148,-2.26856,-0.478138,-7.86626,6.69057,-1.0813,-2.61681,-6.06099
445,1030908859,2,11.5764,1.27823,4.50121,10.5881,3.95989,0.845941,-0.14746,3.86422
446,1030909332,2,16.5924,-1.70288,-3.7494,16.0729,7.24338,0.756552,-1.65793,7.00959
447,1030914589,2,8.26944,2.39894,-0.413701,7.9023,6.22817,-1.61515,-0.427142,5.99898
448,1030970601,2,7.98419,1.46938,1.02012,7.78052,5.93756,-0.832678,-1.07588,5.77863
449,1030987680,2,10.1016,2.73494,-0.724466,9.69675,7.31864,-1.44565,-0.116162,7.17272
450,1030996766,2,16.9032,-6.23037,0.982833,15.6819,5.55455,-0.811418,-0.592689,5.46188
451,1031019318,1,7.53913,0.927254,1.04876,-7.40727,5.0542,-1.30602,1.83765,-4.52229
452,1031043344,2,8.40229,-1.34259,1.335,-8.18551,2.84186,0.896495,0.698503,-2.60257
453,1031047427,2,8.35011,-2.42381,1.73139,7.80004,3.32199,0.393106,0.625778,3.23703
454,1031072597,2,9.08441,1.37165,3.13544,-8.41445,8.95388,1.94034,0.679964,-8.71398
455,1031142371,0,11.0361,-0.975316,-2.11842,-10.7864,7.73656,2.12745,0.330183,-7.43022
456,1031228096,2,9.26495,0.929189,-2.26536,8.93492,2.81244,-1.16736,-0.403204,2.52455
457,1031249689,2,9.28797,-1.87124,0.833473,9.05864,5.32773,0.246845,1.3962,5.13451
458,1031261656,0,8.70399,2.07217,-1.32461,8.34864,3.90057,-0.223338,0.95641,3.77341
459,1031263913,2,40.5448,6.3507,-5.48616,-39.6666,5.95277,1.63345,-0.0408523,-5.72316
460,1031342565,0,12.5727,3.76235,6.90773,-9.80768,3.83596,0.94011,0.279658,-3.70694
461,1031375519,2,8.26886,0.46393,-2.30817,7.92591,14.8652,4.5962,-4.01846,13.5532
462,1031409989,2,9.28666,-3.07781,0.292606,-8.75627,2.89865,-0.024851,-0.797868,-2.78456
463,1031476569,2,9.30337,0.328021,-2.05822,-9.06629,4.38283,-1.09225,1.0266,-4.11717
464,1031548664,2,11.7744,0.098652,-2.23888,-11.5587,4.06061,-0.575389,0.892376,-3.91791
465,1031597753,3,9.49917,0.252498,-6.11371,7.26512,5.03356,-1.75281,-3.80482,2.78864
466,1031612051,1,6.88651,-1.4281,-1.53081,6.55973,7.16161,-1.30483,0.650681,7.01082
467,1031630388,2,9.87497,-2.19431,0.981984,-9.57729,4.85113,0.88758,-0.45931,-4.7459
468,1031634596,2,9.33112,1.75554,1.40743,-9.05516,3.9895,0.887736,-0.721567,-3.8205
469,1031644448,1,8.40736,-2.20826,0.484565,-8.097,7.4511,-1.29028,-1.57221,-7.16736
470,1031705318,2,10.5588,-1.96336,2.10159,-10.159,3.3324,0.885055,1.21543,-2.97206
471,1031738616,0,8.68458,1.65723,-0.531804,8.50773,5.89738,-0.629404,-0.898486,5.79349
472,1031747504,0,6.84293,1.52777,-0.26514,-6.66409,2.96115,-0.58946,0.47837,-2.86024
473,846028791,2,4.72078,3.34296,3.3249,0.210392,2.84477,-0.328655,0.761837,2.71903
474,846040904,2,9.53802,1.9318,-0.965081,9.28975,7.24004,0.19187,-2.09129,6.92797
475,846052246,2,21.6047,-1.19844,4.24496,-21.1493,5.97133,-1.194,-0.0584779,-5.84949
476,846066229,1,5.74408,0.140679,3.26277,4.72418,4.46122,-1.26541,0.280443,4.26748
477,846069846,2,8.81814,-2.08225,-7.43537,-4.2577,4.28525,1.08815,-3.38393,-2.39105
478,846095022,2,10.2762,-0.50732,3.97528,9.46202,6.20379,-1.26615,0.717358,6.02977
479,846121672,2,7.55835,-0.293058,2.15879,7.23679,3.93603,-1.35736,0.0815461,3.69216
480,846135142,2,8.36131,-0.627455,-1.94699,-8.10654,5.08705,-1.51495,-0.0353999,-4.85496
481,846181124,2,18.876,-3.94423,-2.4149,-18.3004,5.18547,-2.03614,0.739714,-4.71009
482,846205510,2,10.475,2.03399,-2.44858,-9.97911,5.4324,-0.796425,-1.05894,-5.26727
483,846214295,2,6.34572,0.918381,3.19487,-5.4043,5.68779,-0.0380967,-1.07838,-5.5835
484,846233271,2,13.4093,-2.13274,1.54816,-13.1473,3.81072,0.427435,1.50715,-3.4722
485,846246869,2,8.18089,-2.24958,-2.1592,7.56261,8.85997,0.291507,-1.95226,8.63664
486,846251052,2,13.8218,0.858207,-4.52724,-13.0307,3.38308,-0.910147,-0.553126,-3.20932
487,846279398,2,8.00235,2.31896,-1.74078,7.45779,9.58514,2.78303,0.835212,9.13351
488,846299230,2,8.59904,3.18382,0.299141,7.98162,5.78207,-0.023375,1.62735,5.54728
489,846332262,0,18.8816,1.28682,1.94516,-18.7367,6.17279,1.35974,-0.374108,-6.00861
490,846332296,0,16.699,3.5731,-1.69977,16.2231,4.0983,1.64575,0.546811,3.7118
491,846343748,2,7.6507,-1.45348,-2.53529,7.06978,6.02074,1.54163,-1.48902,5.62533
492,846357346,2,7.63316,-1.3362,2.33928,-7.14116,2.84998,-1.07939,-0.788342,-2.51488
493,846380514,0,19.0624,-2.78007,2.25203,18.7234,4.54332,-1.55552,0.90713,4.1699
494,846418576,1,6.99401,2.02448,-0.538742,-6.67205,3.42262,0.263453,0.957725,-3.27361
495,846431834,2,22.3793,-3.74344,-1.63658,-22.003,12.6591,-1.96914,1.39095,-12.427
496,846638256,0,7.87662,-1.31208,-0.502157,7.7496,6.74205,0.45867,-2.18818,6.35969
497,846645946,2,10.9835,-2.537,2.8418,10.3012,4.75505,0.746831,1.47831,4.45603
498,846659994,1,5.40987,1.58233,1.88003,-4.81843,5.33099,2.10311,-0.0991736,-4.89646
499,846708429,1,7.80413,-0.138472,2.70707,7.31751,4.50589,-0.323051,-0.794163,4.42231
500,846755995,2,9.21121,-0.405278,1.82485,9.01892,4.22675,1.3923,0.788359,3.91079
501,846767625,2,5.60037,-0.139129,2.20743,-5.14401,4.22481,-1.75563,-0.911018,-3.73171
502,846768167,1,7.9268,-2.08998,-0.54248,-7.62632,9.12802,-0.452753,3.55879,-8.39283
503,846774837,2,7.36854,0.25943,2.94298,6.7495,4.7961,1.49287,0.451543,4.53419
504,846935996,0,3.75065,3.19394,1.58704,1.15598,4.92698,1.11851,0.120551,4.79566
505,847044993,2,14.7798,0.490115,-3.09121,-14.4442,6.86711,-1.44848,-1.00533,-6.63605
506,847063068,2,6.06853,-0.716288,-3.57333,4.8512,4.64636,1.09224,-0.628101,4.47102
507,847068097,2,7.82407,-0.391815,-1.73356,7.6188,5.64109,1.48365,-1.1641,5.31549
508,847095983,0,36.2425,6.77941,3.68581,35.4113,3.05084,-0.0451316,1.2276,2.79059
509,847132290,2,8.59198,-3.44755,-0.649816,7.84239,8.97593,-2.55657,2.26812,8.29914
510,847208463,2,7.27572,0.578135,3.40487,6.40293,4.38845,-2.12446,0.701257,3.77389
511,847209106,2,7.30491,-1.5147,-1.24601,7.03589,5.9101,0.58055,-1.45938,5.69661
512,847355400,2,7.23359,-0.315508,-1.65621,-7.03357,8.73555,1.78584,0.421884,-8.53999
513,847371516,2,9.87194,-2.67578,-1.20189,-9.42548,6.10028,1.29504,-0.483695,-5.94063
514,847398620,3,11.4284,-8.23887,4.68493,-6.38507,5.98395,-5.20497,0.406266,-2.92227
515,847399713,2,6.52058,-0.227197,3.22309,-5.66275,6.89464,1.10206,-0.592495,-6.77933
516,847419682,2,9.1086,-1.98569,-1.08061,8.82297,3.01103,0.635252,-1.11179,2.72315
517,847431332,2,17.467,-0.847549,-3.07981,17.1721,6.86635,-1.43084,-0.459412,6.69905
518,847439455,2,10.3072,0.710988,-2.00227,-10.0853,4.95943,0.0588981,1.54444,-4.71127
519,847445088,2,10.0894,2.18424,-0.00613321,-9.84957,4.52878,-2.20146,-0.098757,-3.95506
520,847477368,2,6.64699,0.176682,-1.36851,6.50133,12.4491,2.98844,-0.471739,12.0754
521,847481355,0,8.62411,-0.189715,3.1841,-8.01185,3.21102,0.76112,-0.0720818,-3.11689
522,847492679,2,10.0146,1.38746,-3.26213,-9.36556,5.34036,1.15201,0.303519,-5.20471
523,847522328,0,5.87198,-1.64815,-0.118031,5.6337,3.9758,0.825279,-0.801764,3.8042
524,847525620,0,8.69073,3.78383,0.152938,7.82156,3.24721,-1.46922,0.124303,2.89122
